"RGB Hex","RGB Hex3","HSL","RGB","HTML Keyword"
"#8088a5","#89a","hsl(227,17,57)","rgb(128,136,165)","lightslategray"
"#8489a6","#89a","hsl(231,16,58)","rgb(132,137,166)","lightslategray"
"#8888a6","#99a","hsl(240,14,59)","rgb(136,136,166)","lightslategray"
"#8a88a4","#99a","hsl(244,13,58)","rgb(138,136,164)","lightslategray"
"#8f88a4","#99a","hsl(255,13,58)","rgb(143,136,164)","lightslategray"
"#9287a3","#98a","hsl(263,13,58)","rgb(146,135,163)","lightslategray"
"#9386a0","#98a","hsl(269,12,57)","rgb(147,134,160)","lightslategray"
"#98859f","#a8a","hsl(283,11,57)","rgb(152,133,159)","lightslategray"
"#98849c","#a8a","hsl(289,10,56)","rgb(152,132,156)","lightslategray"
"#9b8198","#a8a","hsl(306,11,55)","rgb(155,129,152)","gray"
"#a08298","#a8a","hsl(316,13,56)","rgb(160,130,152)","rosybrown"
"#9d7c91","#a89","hsl(321,14,55)","rgb(157,124,145)","gray"
"#a37e92","#a89","hsl(327,16,56)","rgb(163,126,146)","rosybrown"
"#a77e90","#a89","hsl(333,18,57)","rgb(167,126,144)","rosybrown"
"#a77b8c","#a89","hsl(336,20,56)","rgb(167,123,140)","rosybrown"
"#a87988","#b89","hsl(340,21,56)","rgb(168,121,136)","rosybrown"
"#aa7784","#b78","hsl(344,23,56)","rgb(170,119,132)","rosybrown"
"#ac7982","#b88","hsl(349,23,57)","rgb(172,121,130)","rosybrown"
"#ac757e","#b78","hsl(350,24,56)","rgb(172,117,126)","rosybrown"
"#ab757a","#b78","hsl(354,24,56)","rgb(171,117,122)","rosybrown"
"#a97375","#b77","hsl(357,23,55)","rgb(169,115,117)","rosybrown"
"#ad7776","#b77","hsl(1,25,57)","rgb(173,119,118)","rosybrown"
